electrode,x,y,z,w,h,d,default,all,bank0,double_length,bank1,bank2,bank3,bank4
145.0,2.0,1280.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
146.0,-30.0,1295.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
147.0,2.0,1295.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
148.0,-30.0,1310.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
149.0,2.0,1310.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
150.0,-30.0,1325.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
151.0,2.0,1325.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
152.0,-30.0,1340.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
153.0,2.0,1340.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
154.0,-30.0,1355.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
155.0,2.0,1355.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
156.0,-30.0,1370.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
157.0,2.0,1370.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
158.0,-30.0,1385.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
159.0,2.0,1385.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
160.0,-30.0,1400.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
161.0,2.0,1400.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
162.0,-30.0,1415.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
163.0,2.0,1415.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
164.0,-30.0,1430.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
165.0,2.0,1430.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
166.0,-30.0,1445.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
167.0,2.0,1445.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
