electrode,x,y,z,w,h,d,default,all,bank0,double_length
169.0,18.0,1880.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
170.0,-30.0,1900.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
171.0,2.0,1900.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
172.0,-14.0,1920.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
173.0,18.0,1920.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
174.0,-30.0,1940.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
175.0,2.0,1940.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
176.0,-14.0,1960.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
177.0,18.0,1960.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
178.0,-30.0,1980.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
179.0,2.0,1980.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
180.0,-14.0,2000.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
181.0,18.0,2000.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
182.0,-30.0,2020.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
183.0,2.0,2020.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
184.0,-14.0,2040.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
185.0,18.0,2040.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
186.0,-30.0,2060.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
187.0,2.0,2060.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
188.0,-14.0,2080.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
189.0,18.0,2080.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
190.0,-30.0,2100.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
191.0,2.0,2100.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
192.0,-14.0,2120.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
193.0,18.0,2120.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
194.0,-30.0,2140.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
195.0,2.0,2140.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
196.0,-14.0,2160.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
197.0,18.0,2160.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
198.0,-30.0,2180.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
