electrode,x,y,z,w,h,d,default,all,bank0,double_length
346,-30,2795,0,12,12,24,1,1,1,0
347,2,2795,0,12,12,24,1,1,1,1
348,-30,2810,0,12,12,24,1,1,1,0
349,2,2810,0,12,12,24,1,1,1,1
350,-30,2825,0,12,12,24,1,1,1,0
351,2,2825,0,12,12,24,1,1,1,1
352,-30,2840,0,12,12,24,1,1,1,0
353,2,2840,0,12,12,24,1,1,1,1
354,-30,2855,0,12,12,24,1,1,1,0
355,2,2855,0,12,12,24,1,1,1,1
356,-30,2870,0,12,12,24,1,1,1,0
357,2,2870,0,12,12,24,1,1,1,1
358,-30,2885,0,12,12,24,1,1,1,0
359,2,2885,0,12,12,24,1,1,1,1
360,-30,2900,0,12,12,24,1,1,1,0
361,2,2900,0,12,12,24,1,1,1,1
362,-30,2915,0,12,12,24,1,1,1,0
363,2,2915,0,12,12,24,1,1,1,1
364,-30,2930,0,12,12,24,1,1,1,0
365,2,2930,0,12,12,24,1,1,1,1
366,-30,2945,0,12,12,24,1,1,1,0
367,2,2945,0,12,12,24,1,1,1,1
368,-30,2960,0,12,12,24,1,1,1,0
369,2,2960,0,12,12,24,1,1,1,1
370,-30,2975,0,12,12,24,1,1,1,0
371,2,2975,0,12,12,24,1,1,1,1
372,-30,2990,0,12,12,24,1,1,1,0
373,2,2990,0,12,12,24,1,1,1,1
374,-30,3005,0,12,12,24,1,1,1,0
375,2,3005,0,12,12,24,1,1,1,1
376,-30,3020,0,12,12,24,1,1,1,0
377,2,3020,0,12,12,24,1,1,1,1
378,-30,3035,0,12,12,24,1,1,1,0
379,2,3035,0,12,12,24,1,1,1,1
380,-30,3050,0,12,12,24,1,1,1,0
381,2,3050,0,12,12,24,1,1,1,1
382,-30,3065,0,12,12,24,1,1,1,0
383,2,3065,0,12,12,24,1,1,1,1
384,-30,3080,0,12,12,24,0,1,0,1
385,2,3080,0,12,12,24,0,1,0,0
386,-30,3095,0,12,12,24,0,1,0,1
387,2,3095,0,12,12,24,0,1,0,0
388,-30,3110,0,12,12,24,0,1,0,1
389,2,3110,0,12,12,24,0,1,0,0
390,-30,3125,0,12,12,24,0,1,0,1
391,2,3125,0,12,12,24,0,1,0,0
392,-30,3140,0,12,12,24,0,1,0,1
393,2,3140,0,12,12,24,0,1,0,0
394,-30,3155,0,12,12,24,0,1,0,1
395,2,3155,0,12,12,24,0,1,0,0
396,-30,3170,0,12,12,24,0,1,0,1
397,2,3170,0,12,12,24,0,1,0,0
398,-30,3185,0,12,12,24,0,1,0,1
399,2,3185,0,12,12,24,0,1,0,0
400,-30,3200,0,12,12,24,0,1,0,1
401,2,3200,0,12,12,24,0,1,0,0
402,-30,3215,0,12,12,24,0,1,0,1
403,2,3215,0,12,12,24,0,1,0,0
404,-30,3230,0,12,12,24,0,1,0,1
405,2,3230,0,12,12,24,0,1,0,0
406,-30,3245,0,12,12,24,0,1,0,1
